car_id,engine,displacement,net_torque,horsepower
624,l4,2.0,273.0,252.0
625,l4,2.0,273.0,252.0
626,l4,2.0,273.0,252.0
627,l4,2.0,273.0,252.0
628,l4,2.0,273.0,252.0
629,l4,2.0,258.0,220.0
630,V6,3.0,295.0,272.0
631,V6,3.0,295.0,272.0
632,V6,3.0,428.0,240.0
633,V6,3.0,428.0,240.0
634,l4,2.0,354.0,245.0
635,l4,2.0,258.0,220.0
636,l4,2.0,258.0,220.0
637,V6,3.0,295.0,272.0
638,V6,3.0,295.0,272.0
639,V6,3.0,428.0,240.0
640,V6,3.0,428.0,240.0
641,l4,2.0,354.0,245.0
642,l4,2.0,258.0,220.0
643,l4,2.0,258.0,220.0
644,V6,3.0,295.0,272.0
645,V6,3.0,295.0,272.0
646,V6,3.0,428.0,240.0
647,V6,3.0,428.0,240.0
648,l4,2.0,354.0,245.0
649,l4,2.0,258.0,220.0
650,l4,2.0,258.0,211.0
651,V6,3.0,295.0,272.0
652,V6,3.0,295.0,272.0
653,l4,2.0,354.0,245.0
654,l4,2.0,258.0,211.0
655,l4,2.0,258.0,211.0
656,V6,3.2,243.0,270.0
657,V6,3.2,243.0,270.0
658,l4,2.0,258.0,211.0
659,l4,2.0,258.0,211.0
660,V6,3.2,243.0,270.0
661,V6,3.2,243.0,270.0
662,l4,2.0,258.0,211.0
663,V6,3.2,243.0,270.0
664,V6,3.2,243.0,270.0
665,V6,3.2,243.0,270.0
666,V6,3.2,243.0,270.0
667,V6,3.2,243.0,270.0
668,V6,3.2,243.0,270.0
669,V8,4.0,406.0,450.0
670,V8,4.0,406.0,450.0
671,V8,4.0,406.0,450.0
672,V8,4.0,406.0,420.0
673,V8,4.0,406.0,420.0
674,V8,4.0,406.0,420.0
675,V6,3.0,369.0,349.0
676,V6,3.0,369.0,349.0
677,V6,3.0,369.0,349.0
678,V6,3.0,369.0,354.0
679,V6,3.0,369.0,354.0
680,V6,3.0,325.0,333.0
681,V6,3.0,325.0,333.0
682,V6,3.0,325.0,333.0
683,V6,3.0,325.0,333.0
684,V6,3.0,325.0,333.0
685,V6,3.0,325.0,333.0
686,V6,3.0,325.0,333.0
687,V6,3.0,325.0,333.0
